RBA Profit & Loss Statement for the year ended 30 June 2018,,
,AUD $m,AUD
Income,,
Interest income,2101,2101000000
Interest expense,-1200,-1200000000
Net Interest Income,901,901000000
Committed Liquidity Facility Fees,349,349000000
FX Gains/(Losses),3162,3162000000
AUD securities,-160,-160000000
Other income,23,23000000
Total Income,4435,4435000000
,,
Expenses,,
Personnel expenses,-272,-272000000
Depreciation and amortisation,-64,-64000000
Other expenses,-252,-252000000
Total Expenses,-588,-588000000
,,
Gross Profit,3847,3847000000
Distribution payable to the Commonwealth,-669,-669000000
Net Profit,3178,3178000000
