            Australian Bureau of Statistics,,,,,,,
"5368.0.55.006 Characteristics of Australian Exporters, 2016-17",,,,,,,
Released at 11.30am (Canberra time) 20 June 2018,,,,,,,
"Table 5.2 Value of Goods Exports, by Industry of Exporter and Business Size",,,,,,,
,,,,,,,
,,2013-14,2014-15,2015-16,2016-17,,
Industry of exporter,Size of exporters (a),$m,$m,$m,$m,,
Goods exporters with a TAU (b),,,,,,,
"Agriculture, forestry and fishing",,,,,,,
,Large,"3,196","3,012","3,352","2,844",,
,Medium,401,435,518,534,,
,Small,72,75,85,78,,
,Total,"3,669","3,522","3,955","3,456",,
Mining,,,,,,,
,Large,"157,650","136,117","121,623","161,177",,
,Medium,245,209,206,161,,
,Small,17,20,28,29,,
,Total,"157,912","136,346","121,856","161,368",,
Manufacturing,,,,,,,
,Large,"58,743","59,963","62,516","66,266",,
,Medium,"2,498","2,552","2,492","2,425",,
,Small,343,358,378,374,,
,Total,"61,584","62,873","65,386","69,066",,
Construction,,,,,,,
,Large,465,471,388,309,,
,Medium,170,170,155,170,,
,Small,42,50,55,56,,
,Total,677,691,598,535,,
Wholesale Trade,,,,,,,
,Large,"35,098","34,713","32,988","38,458",,
,Medium,"3,238","3,583","4,030","3,994",,
,Small,695,792,858,873,,
,Total,"39,031","39,088","37,876","43,325",,
Retail Trade,,,,,,,
,Large,"1,123","1,083","1,404","1,562",,
,Medium,388,458,566,646,,
,Small,149,176,192,214,,
,Total,"1,660","1,716","2,162","2,422",,
"Transport, postal and warehousing",,,,,,,
,Large,"1,679","2,023","2,929","2,220",,
,Medium,370,434,528,639,,
,Small,66,83,117,102,,
,Total,"2,116","2,539","3,574","2,961",,
Other (c),,,,,,,
,Large,"3,452","4,578","4,547","4,113",,
,Medium,"1,195","1,354","1,418","1,554",,
,Small,402,444,461,435,,
,Total,"5,049","6,376","6,426","6,102",,
Total goods exporters with a TAU,,,,,,,
,Large,"261,406","241,960","229,746","276,948",,
,Medium,"8,505","9,195","9,914","10,123",,
,Small,"1,786","1,998","2,174","2,161",,
,Total,"271,696","253,152","241,834","289,233",,
Goods exporters without a TAU,,,,,,,
All Industries (d),,,,,,,
,Large,773,815,843,"1,018",,
,Medium,153,181,325,244,,
,Small,298,402,421,386,,
,Total,"1,224","1,399","1,589","1,647",,
Total goods exporters,,,,,,,
,Large,"262,179","242,775","230,588","277,966",,
,Medium,"8,658","9,376","10,239","10,367",,
,Small,"2,084","2,400","2,595","2,547",,
,Total Goods Exports,"272,921","254,551","243,423","290,880",,
,,,,,,,
"Where figures have been rounded, discrepancies may occur between sums of the component items and totals.",,,,,,,
(a) Refer to Business size criteria in the Explanatory Notes of the publication.,,,,,,,
(b) Type of Activity Unit.,,,,,,,
"(c) Includes goods exporters in Electricity, gas, water and waste services; Accommodation and food services; Information media and telecommunications; Financial and insurance services; Rental, hiring and real estate services; Professional, scientific and technical services; Administrative and support services; Public administration and safety; Education and training; Health, care and social assistance; Arts and recreation services; as well as businesses that lack a classification under ANZSIC 2006 and businesses yet to confirm their main industry of activity with the Australian Taxation Office.",,,,,,,
(d) Industry of exporter is not available for exporters without a TAU.,,,,,,,
,,,,,,,
,,,,,,,
© Commonwealth of Australia 2018,,,,,,,
