            Australian Bureau of Statistics,,,,,
"5368.0.55.006 Characteristics of Australian Exporters, 2016-17",,,,,
Released at 11.30am (Canberra time) 20 June 2018,,,,,
"Table 7 Number of Goods Exporters, by Industry of Exporter, by Main State of Location of Exporter",,,,,
,,,,,
,,2013-14 ,2014-15 ,2015-16,2016-17
Industry of exporter,Main state of business location,no.,no.,no.,no.
Goods exporters with a TAU (a),,,,,
"Agriculture, forestry and fishing",,,,,
,NSW,201,216,220,220
,Vic.,224,245,263,236
,Qld,146,167,161,162
,SA,128,137,149,150
,WA,134,136,151,140
,Tas.,55,58,61,58
,Total goods exports (b),896,970,"1,019",979
Mining,,,,,
,NSW,86,91,83,76
,Vic.,42,35,31,30
,Qld,111,110,114,110
,SA,27,27,24,28
,WA,192,202,199,206
,Tas.,9,11,8,8
,Total goods exports (b),476,486,468,467
Manufacturing,,,,,
,NSW,"2,692","2,807","2,832","2,803"
,Vic.,"2,828","2,873","2,885","2,911"
,Qld,"1,525","1,553","1,579","1,597"
,SA,755,764,781,736
,WA,786,835,841,838
,Tas.,129,143,143,142
,Total goods exports (b),"8,782","9,056","9,125","9,086"
Construction,,,,,
,NSW,425,438,472,472
,Vic.,304,370,372,370
,Qld,381,413,390,386
,SA,44,54,81,63
,WA,246,240,262,235
,Tas.,8,11,15,12
,Total goods exports (b),"1,437","1,562","1,622","1,571"
Wholesale trade,,,,,
,NSW,"4,938","5,030","5,085","5,137"
,Vic.,"4,070","4,255","4,527","4,707"
,Qld,"1,909","1,924","1,995","1,969"
,SA,594,602,670,708
,WA,957,930,945,962
,Tas.,64,62,62,61
,Total goods exports (b),"12,651","12,913","13,402","13,652"
Retail trade,,,,,
,NSW,"1,437","1,510","1,673","1,724"
,Vic.,"1,069","1,189","1,340","1,403"
,Qld,803,847,874,925
,SA,166,172,202,181
,WA,431,426,407,429
,Tas.,29,28,38,31
,Total goods exports (b),"3,998","4,261","4,620","4,768"
"Transport, postal and warehousing",,,,,
,NSW,522,540,589,554
,Vic.,339,374,396,396
,Qld,215,226,223,219
,SA,55,69,57,60
,WA,135,136,154,134
,Tas.,19,18,18,13
,Total goods exports (b),"1,306","1,379","1,461","1,402"
Other (c),,,,,
,NSW,"3,185","3,349","3,477","3,414"
,Vic.,"2,397","2,510","2,728","2,654"
,Qld,"1,539","1,690","1,818","1,754"
,SA,442,464,509,467
,WA,972,"1,025","1,044","1,066"
,Tas.,75,68,93,81
,Total goods exports (b),"8,802","9,306","9,856","9,644"
Total goods exporters with a TAU,,,,,
,NSW,"13,486","13,981","14,431","14,400"
,Vic.,"11,273","11,851","12,542","12,707"
,Qld,"6,629","6,930","7,154","7,122"
,SA,"2,211","2,289","2,473","2,393"
,WA,"3,853","3,930","4,003","4,010"
,Tas.,388,399,438,406
,Total goods exports (b),"38,348","39,933","41,573","41,569"
Goods exporters without a TAU,,,,,
All Industries (d),,,,,
,NSW,205,293,319,297
,Vic.,201,238,235,254
,Qld,117,133,142,124
,SA,53,65,83,68
,WA,57,72,96,82
,Tas.,6,8,3,6
,Total goods exports (b),"6,386","8,748","9,719","10,423"
Total goods exporters,,,,,
,NSW,"13,691","14,274","14,750","14,697"
,Vic.,"11,474","12,089","12,777","12,961"
,Qld,"6,746","7,063","7,296","7,246"
,SA,"2,264","2,354","2,556","2,461"
,WA,"3,910","4,002","4,099","4,092"
,Tas.,394,407,441,412
,Total goods exports (b),"44,734","48,681","51,292","51,992"
,,,,,
,,,,,
"Where figures have been rounded, discrepancies may occur between sums of the component items and totals.",,,,,
(a) Type of Activity Unit.,,,,,
"(b) Total includes ACT, NT, re-exports, and State not specified.",,,,,
"(c) Includes goods exporters in Electricity, gas, water and waste services; Accommodation and food services; Information media and telecommunications; Financial and insurance services; Rental, hiring and real estate services; Professional, scientific and technical services; Administrative and support services; Public administration and safety; Education and training; Health, care and social assistance; Arts and recreation services; as well as businesses that lack a classification under ANZSIC 2006 and businesses yet to confirm their main industry of activity with the Australian Taxation Office.",,,,,
(d) Industry of exporter is not available for exporters without a TAU.,,,,,
,,,,,
,,,,,
© Commonwealth of Australia 2018,,,,,
